[FIXES]
;
; Sections:
; O = Nil Fix
; Airway/TERPS
; ABQ Diagram
CRSTN N035.09.02.900 W106.49.31.210
CRTTR N034.42.00.000 W104.30.00.000
CUBBA N035.13.34.640 W107.09.34.840
CUBIB N035.10.14.970 W101.46.33.280
CUBIB N035.10.14.970 W101.46.33.280
CUBOL N034.17.26.560 W109.53.18.960
CUDER N034.23.54.000 W114.39.51.000
CUDIL N036.58.24.040 W112.55.55.610
CUDOR N032.56.25.910 W112.47.29.880
CUDUV N032.03.14.130 W110.07.15.030
CUGUN N034.07.40.240 W103.41.48.800
CUKAS N035.30.22.830 W101.23.12.040
CUKED N032.34.59.780 W102.54.53.280
CULAC N031.55.24.710 W106.17.47.690
CULON N031.30.41.550 W104.26.26.540
CULTS N033.35.03.160 W113.30.40.170
CUMAG N032.57.31.060 W109.19.11.980
CUMOR N036.54.31.880 W108.01.58.060
CUNDY N036.03.36.340 W112.59.32.680
CUNIN N032.25.08.140 W102.33.35.110
CUPAK N031.31.02.180 W109.36.16.790
CURAM N034.14.06.970 W103.30.07.280
CURGA N032.02.54.760 W110.51.36.660
CURIB N033.37.52.270 W103.55.39.440
CURIS N031.45.25.300 W106.26.22.710
CURIV N033.46.22.970 W114.32.38.630
CURLY N035.25.04.750 W107.05.32.330
CURRY N034.30.30.760 W103.11.34.210
CUSIL N033.13.42.040 W104.36.21.170
CUTAP N036.46.23.950 W113.44.03.360
CUTIX N035.13.05.920 W106.42.29.280
CUTKU N036.32.07.260 W100.07.26.910
CUTNU N032.52.16.000 W106.05.55.720
CUTRO N035.36.16.980 W112.23.00.000
CUTUL N036.44.28.000 W108.14.20.800
CUVAM N032.53.40.000 W115.08.18.000
CUVEK N033.35.19.000 W115.00.23.000
CUVGO N034.18.39.130 W103.24.40.160
CUVIB N036.30.13.400 W100.44.59.800
CUVMA N032.55.19.730 W106.02.25.260
CUVOV N034.25.51.310 W109.18.42.600
CUXAM N037.26.29.350 W105.52.11.120
CUXEX N031.37.17.320 W109.41.26.470
CUZIN N032.00.07.760 W106.41.57.880
CYOTE N034.57.35.690 W106.22.44.800
DACAG N033.01.25.160 W105.54.02.420
DADDY N034.40.56.400 W106.11.21.620
DAFNY N034.16.41.800 W114.00.04.200
DALKY N032.49.41.420 W111.05.48.120
DANEY N033.52.26.430 W103.40.21.760
DANLE N032.57.38.210 W105.59.00.860
DANNE N037.36.22.110 W105.58.00.560
DANNK N032.45.08.580 W106.04.42.640
DAPEY N032.08.53.640 W104.09.34.080
DARCE N031.53.12.210 W108.13.21.460
DATME N036.39.51.150 W106.06.56.760
DATSE N035.22.51.780 W101.32.12.200
DAUBS N034.50.07.670 W102.10.48.620
DAVEZ N032.00.01.310 W111.23.32.260
DAVNE N031.47.14.680 W106.15.09.650
DBACK N033.55.34.450 W111.20.45.980
DDOWN N037.16.59.690 W105.59.07.890
DDUKE N033.09.18.960 W111.51.15.190
DEBRA N033.49.21.980 W103.28.03.230
DECAN N031.56.28.490 W105.39.55.090
DECAS N033.49.24.900 W115.27.23.800
DECEL N036.38.48.590 W102.52.48.480
DECTU N033.09.21.030 W111.58.16.250
DEDKE N036.48.52.460 W112.37.28.830
DEEPR N031.43.29.870 W106.38.51.950
DEERS N034.34.51.480 W111.53.50.830
DEGCA N035.18.51.880 W108.00.23.770
DEHOG N034.23.24.940 W110.00.45.140
DEKEC N032.50.41.170 W103.00.39.190
DELEO N036.48.25.020 W104.07.32.460
DELLA N033.04.07.490 W111.22.17.530
DELLY N032.22.02.030 W112.03.39.790
